"env","gen","size","protein","oil"
"R70","G54",18.75,37.2,25.815
"R70","G55",18.4,38.9,24.345
"R70","G56",18.95,38,23.955
"R70","G57",16.65,38.2,23.675
"R70","G58",17.7,37.45,24.63
"L71","G01",8.35,39.4,18.665
"L71","G02",9.75,40.6,19.79
"L71","G03",11.4,37.4,20.93
"L71","G04",11.1,36.9,20.255
"L71","G05",11.9,38.7,20.89
"L71","G06",12.15,38.1,20.745
"L71","G07",11.25,37.45,20.97
"L71","G08",11.8,36.65,19.675
"L71","G09",12.25,37.1,20.325
"L71","G10",12.05,37.85,19.505
"L71","G11",7.4,43.45,17.585
"L71","G12",7.45,44.45,16.595
"L71","G13",8.25,42.2,17.265
"L71","G14",7.65,38.45,18.525
"L71","G15",9.05,40.7,17.85
"L71","G16",8.45,37.4,18.75
"L71","G17",7.45,45.5,16
"L71","G18",8.6,43.65,16.135
"L71","G19",8.5,42.25,17.59
"L71","G20",7.4,45.15,16.415
"L71","G21",7.35,37.6,16.98
"L71","G22",7.7,44.35,15.97
"L71","G23",6.55,42.6,16.875
"L71","G24",10.25,40.55,20.21
"L71","G25",9,38.9,19.955
"L71","G26",10.85,40.8,18.85
"L71","G27",10.25,39.8,18.92
"L71","G28",8.15,38.95,19.505
"L71","G29",9.3,42.2,18.225
"L71","G30",8.8,43.55,17.035
"L71","G31",8,40.15,18.325
"L71","G32",8.35,41.55,17.18
"L71","G33",9.85,37,18.925
"L71","G34",7,41.2,17.925
"L71","G35",7.75,41.15,18.155
"L71","G36",7.1,43.75,16.925
"L71","G37",7.45,43.55,17.7
"L71","G38",9.2,38.6,18.925
"L71","G39",8.25,42.15,18.335
"L71","G40",9.25,42.25,18.73
"L71","G41",9.65,39.7,19.14
"L71","G42",15.85,40.75,19.93
"L71","G43",7.55,40.7,16.925
"L71","G44",14,36.9,22.195
"L71","G45",19.65,36.3,23.73
"L71","G46",15.75,36.75,23.25
"L71","G47",17.6,38.85,23.435
"L71","G48",16.95,39.1,24.085
"L71","G49",18.55,37.5,23.07
"L71","G50",16.95,40.05,23.515
"L71","G51",17.75,38.7,21.65
"L71","G52",14.05,38.3,22.745
"L71","G53",18.4,37.45,23.58
"L71","G54",17,37.5,24.125
"L71","G55",20.55,42.05,22.905
"L71","G56",17.85,38.5,22.88
"L71","G57",19.45,38.6,22.815
"L71","G58",19,37.35,22.72
"B71","G01",8.9,40.3,18.235
"B71","G02",10.9,41.75,18.75
"B71","G03",12.4,39.75,19.57
"B71","G04",12.75,38.5,19.52
"B71","G05",13.3,39.4,19.9
"B71","G06",12.85,37.6,19.55
"B71","G07",14,37.4,19.53
"B71","G08",12.3,37.7,18.985
"B71","G09",11.95,39.55,18.24
"B71","G10",13.45,39.95,18.61
"B71","G11",7.4,43.35,16.485
"B71","G12",8.35,44,16.075
"B71","G13",8.75,46,16.65
"B71","G14",7.55,41,18.035
"B71","G15",9.45,44.15,17.53
"B71","G16",9.55,41.95,18.7
"B71","G17",6.85,44.95,14.985
"B71","G18",7.7,48.1,14.73
"B71","G19",7.9,45.45,16.665
"B71","G20",8.6,47.9,15.77
"B71","G21",8.4,42.7,16.735
"B71","G22",8.65,48.5,15.535
"B71","G23",7.45,44.25,16.935
"B71","G24",11.5,42,19.195
"B71","G25",10.4,39.45,19.365
"B71","G26",11.85,43.8,19.195
"B71","G27",11.3,42.7,18.78
"B71","G28",8.7,41.6,19.18
"B71","G29",9,42.95,17.05
"B71","G30",8.75,45.2,15.565
"B71","G31",9.4,42.05,17.675
"B71","G32",10,43.35,17.285
"B71","G33",10.15,39.9,18.025
"B71","G34",8.4,41.75,18.45
"B71","G35",8.9,43.5,17.91
"B71","G36",7.65,44.8,16.11
"B71","G37",8.55,44.9,16.87
"B71","G38",9.6,42.7,18.67
"B71","G39",8.85,41.8,18.15
"B71","G40",11.25,42.25,19.12
"B71","G41",10.15,41.25,18.195
"B71","G42",17.1,44.65,19.2
"B71","G43",8.45,43.55,17.03
"B71","G44",18.65,41.45,20.015
"B71","G45",23.6,37.9,22.135
"B71","G46",18.1,38.3,20.495
"B71","G47",20.7,39.65,23.19
"B71","G48",17.9,38.1,23.82
"B71","G49",21.6,37.5,22.18
"B71","G50",19.3,40.2,23.32
"B71","G51",19.25,41.6,20.885
"B71","G52",14.55,41.3,20.08
"B71","G53",21.9,39.05,22.135
"B71","G54",20.75,38.8,23.405
"B71","G55",20.05,41.6,21.945
"B71","G56",21.45,41.05,22.1
"B71","G57",22.9,41.4,21.705
"B71","G58",19,36.5,22.08
"N71","G01",7.3,38.5,19.285
"N71","G02",9.45,40.95,20.665
"N71","G03",11.3,41.65,19.945
"N71","G04",12.1,39.4,21.81
"N71","G05",12.1,37.2,22.325
"N71","G06",11.35,37.9,21.815
"N71","G07",11.85,37.4,22.255
"N71","G08",12.5,39.35,21.055
"N71","G09",10.6,39.35,20.825
"N71","G10",11.1,38.35,19.985
"N71","G11",5.9,40.75,18.24
"N71","G12",5.9,42.9,16.59
"N71","G13",6.65,42.6,17.82
"N71","G14",7.7,38.4,19.35
"N71","G15",7.95,40.85,18.865
"N71","G16",7.7,40.5,19.365
"N71","G17",6.25,43.7,15.865
"N71","G18",6.7,44.55,15.76
"N71","G19",7.9,42.25,18.885
"N71","G20",7.75,42.45,18.08
"N71","G21",7.35,41.1,18.265
"N71","G22",6.75,44.1,16.145
"N71","G23",6.2,42.05,16.83
"N71","G24",8.9,42.55,18.745
"N71","G25",8.8,40.1,22.35
"N71","G26",9.8,42.15,18.965
"N71","G27",10.7,43.8,19.31
"N71","G28",6.85,38.45,20.005
"N71","G29",9.3,41.55,19.515
"N71","G30",7.65,46.65,16.935
"N71","G31",7.05,40.35,18.25
"N71","G32",9.65,41.95,19.08
"N71","G33",8.8,38.05,20.375
"N71","G34",7.3,42.05,18.775
"N71","G35",7.25,41.65,18.06
"N71","G36",7.6,42.05,18.775
"N71","G37",7.15,42.5,18.23
"N71","G38",8.25,41.35,19.53
"N71","G39",7.35,40.55,19.445
"N71","G40",9.25,43.65,19.175
"N71","G41",9,39.9,21.45
"N71","G42",16.1,44.75,19.955
"N71","G43",7.1,41.4,17.905
"N71","G44",17,38.85,22.52
"N71","G45",17.15,38.85,22.495
"N71","G46",17.25,39,22.745
"N71","G47",18.4,40.85,21.47
"N71","G48",14.85,38.8,23.82
"N71","G49",19.9,39,23.175
"N71","G50",16.75,43.15,22.555
"N71","G51",21,42.6,21.55
"N71","G52",16.7,40.25,22.555
"N71","G53",21.8,41.75,22.63
"N71","G54",20.15,40.65,23.5
"N71","G55",19.55,43.3,22.17
"N71","G56",19.2,42.4,21.405
"N71","G57",18.7,41.2,22.125
"N71","G58",20.1,40.75,22.8
"R71","G01",6.75,42.1,16.855
"R71","G02",7.95,42.7,18.86
"R71","G03",9.1,39.85,19.67
"R71","G04",10.5,40.4,20.36
"R71","G05",10.6,37.75,21.42
"R71","G06",9.75,39.05,20.4
"R71","G07",10.05,39.9,20.515
"R71","G08",9,40.7,19.19
"R71","G09",10.15,40.35,19.54
"R71","G10",10.55,39.45,19.675
"R71","G11",4.9,46.9,16.45
"R71","G12",5.05,45.3,15.47
"R71","G13",5.85,47.5,15.305
"R71","G14",5.45,44.9,14.98
"R71","G15",6.75,44.2,17.03
"R71","G16",6.3,43.15,17.42
"R71","G17",6.1,47.75,15.99
"R71","G18",6.95,45.25,17.195
"R71","G19",5.75,44.8,16.465
"R71","G20",6.95,46.05,16.615
"R71","G21",6.8,46.8,16.48
"R71","G22",6.9,47.45,15.26
"R71","G23",5.2,46.95,14.64
"R71","G24",8.3,41.95,18.515
"R71","G25",8.05,41.5,19.055
"R71","G26",8.85,44.05,17.475
"R71","G27",9.45,42.05,18.105
"R71","G28",7.3,42.8,17.545
"R71","G29",8.05,43.7,19.475
"R71","G30",5.9,48,15.97
"R71","G31",7.75,44.8,17.38
"R71","G32",7.85,46.05,16.485
"R71","G33",8,42.8,17.975
"R71","G34",6.9,45.8,16.085
"R71","G35",7.9,44.8,16.49
"R71","G36",5.95,47.8,15.545
"R71","G37",6.5,48.1,15.815
"R71","G38",7.7,42.7,17.285
"R71","G39",7.4,45.4,17.235
"R71","G40",8.05,44.5,17.645
"R71","G41",10.3,44.3,18.88
"R71","G42",14.9,43.45,19.815
"R71","G43",7.05,43.95,18.42
"R71","G44",14.9,38.55,21.66
"R71","G45",13.3,39.3,21.665
"R71","G46",13.25,36.95,22.515
"R71","G47",17.65,40.55,22.41
"R71","G48",14.15,40.25,22.21
"R71","G49",17.2,36.6,22.61
"R71","G50",14.45,41.5,21.82
"R71","G51",18.25,40.35,21.31
"R71","G52",14.5,37.95,22.205
"R71","G53",13.85,39.05,22.525
"R71","G54",16.8,38.6,24.25
"R71","G55",15.15,40.45,21.545
"R71","G56",12.2,40.6,20.39
"R71","G57",15.75,42.15,21.435
"R71","G58",13,37.35,22.27
